အဲ ဒီ အ ချိန် က တိုက် ကို ရေ ချိုး ချ တဲ့ နာ ရီ ဝက် လမ်း လျောက် ချိန် ပါ	အဲ ဒီ အ ချိန် က တိုက် ကို ရေ ချိုး ချ တဲ့ နာ ရီ ဝက် လမ်း လျောက် ချိန် ပါ
က လေး ကျောင်း စ ရိတ် နဲ့ ရှိ သ မျှ အ ရာ ရာ အ ကောင်း ဆုံး ဖြစ် ဖို့ သူ့ အ တွက် ပဲ ပေါ့	က လေး ကျောင်း စ ရိတ် နဲ့ ရှိ သ မျှ အ ရာ ရာ အ ကောင်း ဆုံး ဖြစ် ဖို့ သူ့ အ တွက် ပဲ ပေါ့
လေး မျက် နှာ ဓမ္မာ ရုံ မှာ သံ ဃာ တော် တွေ တစ် မြို့ နယ် လုံး က ရောက် လာ တဲ့ လူ ပုဂ္ဂိုလ် တွေ က	လေး မျက် နှာ ဓမ္မာ ရုံ မှာ သံ ဃာ တော် တွေ တစ် မြို့ နယ် လုံး က ရောက် လာ တဲ့ လူ ပုဂ္ဂိုလ် တွေ ကို ငါး ပါး သီ လ ပေး ပြီး တော့ ပ ရိတ် ရွတ် ကြ တယ်
ဒါ ကြော င့် ကြို တင် ပိတ် ပင် တား မြစ် ရ တာ လို့ ဆို ထား ပါ တယ်	ဒါ ကြော င့် ကြို တင် ပိတ် ပင် တား မြစ် ရ တာ လို့ ဆို ထား ပါ တယ်
ဘာ မျှော် လ င့် ချက် မှ မ ထား ဘဲ ခွဲ တဲ့ အ ခါ တန် ဖိုး ရှိ တဲ့ ကျောက် ရိုင်း တုံး လေး တွေ ရ ခဲ့ တ	ဘာ မျှော် လ င့် ချက် မှ မ ထား ဘဲ ခွဲ တဲ့ အ ခါ တန် ဖိုး ရှိ တဲ့ ကျောက် ရိုင်း တုံး လေး တွေ ရ ခဲ့ တယ်
နီ နီ ခင် ဇော် ရဲ့ သီ ချင်း က အ ရုပ် မှာ ဒေါ် အောင် ဆန်း စု ကြည် ရဲ့ ဇာတ် ကောင် ပုံ စံ ရိုက် ထာ	နီ နီ ခင် ဇော် ရဲ့ သီ ချင်း က အ ရုပ် မှာ ဒေါ် အောင် ဆန်း စု ကြည် ရဲ့ ဇာတ် ကောင် ပုံ စံ ရိုက် ထား တာ
စာ တစ် ပုဒ် မှာ အ ရေး ကြီး ဆုံး ပွို င့် နေ ရာ တွေ ရှိ ပါ တယ်	စာ တစ် ပုဒ် မှာ အ ရေး ကြီး ဆုံး ပွို င့် နေ ရာ တွေ ရှိ ပါ တယ်
လူ ကြီး လူ လတ် တွေ ဖတ် ဖို့ စာ အုပ် တစ် အုပ် ကို ထပ် ညွှန်း ပါ ရ စေ ဦး	လူ ကြီး လူ လတ် တွေ ဖတ် ဖို့ စာ အုပ် တစ် အုပ် ကို ထပ် ညွှန်း ပါ ရ စေ ဦး
က လေး က လည်း တ ကယ် ကို လိမ္မာ တဲ့ ကျောင်း သား လေး တစ် ယောက် ပါ	က လေး က လည်း တ ကယ် ကို လိမ္မာ တဲ့ ကျောင်း သား လေး တစ် ယောက် ပါ
အ သေး စိတ် တော့ ပြော မ ရ ဘူး ဟု သူ က ဆို သည်	အ သေး စိတ် တော့ ပြော မ ရ ဘူး ဟု သူ က ဆို သည်
